"Phase","Index","Label","Description","Category","Level","Symptom","Entry"
"1","695","melena","Black stool","Symptom","2","black stool","Doctor, I've noticed that my stool has turned black, and it's causing me concern. The change in color is unexpected and I'm unsure about the underlying cause. I would appreciate your evaluation to understand the reason behind this symptom and discuss any necessary steps for further investigation or treatment."
"3","5471.0","family history of chronic venous insufficiency","Chronic venous insufficiency is a condition in which veins, typically in the legs, do not function properly, making it difficult for the blood in the legs to cycle back to the heart","Family History","2","inherited predisposition to chronic venous insufficiency","I have an inherited predisposition to chronic venous insufficiency, and I would like to discuss any preventative measures with you."
"3","3430.0","blepharitis","Blepharitis is the inflammation of the eyelids","Disease / Medical Condition","2","eyelid inflammation","Lately, I have noticed that my eyelids are puffy and see to be inflamed."
"1","2102","urinary tract infection","Infection in any part of urinary system","Symptom","2","infection of the ureters","I think I have an infection in my ureters"
"1","893","hallux valgus","Large bases of the big toes","Symptom","2","bunion","There's a big rough thing on the base of my big toe. It might be a bunion."
"3","4102.0","family history of vitiligo","Vitiligo is a disease that causes loss of skin color in patches","Family History","2","family history of white spot disease","Ramona has a family history of white spot disease."
"1","1143","urinary hesitancy","Inability to urinate","Symptom","2","cannot pee","i have a cannot pee."
"3","3191.0","use of diuretics","Diuretics are used to rid the body of extra fluid or salt","Medication","1","use of diuretics","I have been using diuretics."
"1","2184","warm breast","Feeling of heat in the breast","Symptom","2","a feeling of heat at boobs","Both of my breasts feel very warm in temperature. I have tried removing clothing and taking a cool shower."
"1","987","hyperglycemia","High blood sugar","Symptom","3","hyperglycemia","i feel high blood sugar I've been feeling more thirsty and going to the bathroom frequently."
"3","3245.0","tubal surgery","In a tubal surgery, one or both of your tubes that carry eggs from the ovary to the uterus are tied up","Procedure / Surgery","2","tubal sterilization","I've had a tubal sterilization"
"1","89","back stiffness","Restricted movement of back","Symptom","1","back stiffness","It hurts when I move my back."
"1","561","hot potato voice","Thick voice","Symptom","2","raspy voice","Doctor, I've been experiencing a raspy voice, where my voice sounds rough or hoarse. It's been persisting for a while, and I'm concerned about the cause of this change in my vocal quality."
"3","2827.0","thalassemia","Thalassemia is a blood disorder in which the body makes an abnormal form or inadequate amount of hemoglobin","Disease / Medical Condition","3","thalassemia","I have a history of a genetic blood disorder that affects the production of hemoglobin. It's a condition I've been aware of and managing for some time."
"3","4131.0","antiepileptic drugs","Carbamazepine is a medication used primarily in the treatment of epilepsy","Medication","1","use of carbamazepine","My previous doctor prescribed me the use of carbamazepine"
"1","1454","numbness or tingling in upper extremities","Numbness or tingling in shoulders arms or hands","Symptom","2","tingling in arm","My left arm feels numb and my shoulder is tingling."
"1","2057","ulcer in lower leg or ankles","Open wound in lower leg or ankles","Symptom","3","ulcer in lower leg or ankles","Doctor, I've been having a concerning issue with my lower leg or ankles. There are open wounds or sores in that area that don't seem to be healing properly, and it's causing me discomfort and worry."
"1","1374","nail discoloration","","Symptom","2","brown toenails","I have noticed that my toenails have turned brown, and I'm concerned about it. The discoloration seems to be persistent, and I would like to understand the possible causes and if there's any treatment needed to address this issue."
"3","5713.0","graves disease","Graves disease is an autoimmune disorder, whereby your immune system attacks the thyroid and causes it to make more thyroid hormone than what your body needs","Disease / Medical Condition","2","flajani disease","Hi doctor, I'm here today because I want to talk to you about my Flajani disease. I'm wondering if there are any treatment options or if I need to make any lifestyle changes."
"3","1476.0","history of endometrial cancer","Endometrial refers to the lining of the uterus","Disease / Medical Condition","2","endometrial cancer in the medical records","Doctor, I want to ensure you're aware that I have a history of endometrial cancer, which should be documented in my medical records. I think it's vital for you to know this as we discuss my health and any related treatments or concerns."
"1","2196","weak bones that break or fracture easily","Easily get bone fractures","Symptom","3","weak bones that break or fracture easily","I have been falling down a lot and when I do my bones tend to fracture fairly easy."
"1","383","fissured tongue","Cracked tongue","Symptom","2","furrowed tongue","I was in a lemon eating contest and now I have a furrowed tongue."
"3","2426.0","family history of tinea versicolor","Tinea versicolor is an infection that interferes with normal pigmentation of the skin, typically resulting in painless discolored patches","Family History","2","tinea versicolor is present among relatives","Tinea versicolor is present among my family relatives."
"3","633.0","recent nasal trauma","Recent injury to the nose","Risk factor","2","nasal injury","I have a nasal injury, commonly known as trauma to the nose."
